year,mu,s,week,fitted_cdf,year_group
1991,18.53136866815894,0.5593398868847537,16,0.010711840953758447,Other
2001,17.65648669532134,0.3637777391716925,16,0.010419850596950794,Other
2002,21.14873274918691,1.1294270492763459,16,0.010366942430568515,Other
1993,18.6252594997513,0.5741017416492514,16,0.010223276155062298,Other
2013,19.252739332071425,0.6680876749555522,16,0.007624527090463506,Other
2019,22.95846774999589,1.3544246560089428,16,0.005837593080031791,2019
2009,20.140740323295397,0.8033354421916045,16,0.0057405965741833325,Other
1996,21.538531553531655,0.9399802383341086,16,0.002753352920630342,Other
1992,19.1450992809687,0.517837359071354,16,0.0022977438346168185,Other
1998,20.208173071789812,0.6310092174435861,16,0.0012681127643576389,Other
2011,21.758945599078544,0.5427990900587114,16,2.4674425154148142e-5,Other
2005,16.541631311628272,1.2109928083645276,17,0.5935128462125214,Other
2010,16.6390782236277,1.0721649415065384,17,0.583371426947783,Other
2012,16.78877955420752,0.9900779361651335,17,0.5531329316001787,Other
1982,17.164317134528158,0.5182813754478109,17,0.42139672348066776,Other
2006,17.23807444335008,0.6440647953481751,17,0.4086271380141762,Other
1988,17.326824069178695,0.636183026192589,17,0.3743203578201921,Other
1994,17.471323506363426,0.9127694501581843,17,0.37370227464532635,Other
1997,17.467770373014034,0.7893501202363457,17,0.3560380828972697,Other
1985,17.461869371428108,0.6416841736675388,17,0.32744213831807123,Other
1990,17.851895029727196,1.0565709543451416,17,0.30868316509677013,Other
1999,17.550566308908664,0.5529471323010038,17,0.2697888147244181,Other
2017,18.525382173135974,1.528833163592439,17,0.26938545915019835,Other
2004,18.24932551046021,1.1659938474108666,17,0.255123943822084,Other
2003,17.50002707329803,0.35719505789524125,17,0.19783655131015457,Other
2001,17.65648669532134,0.3637777391716925,17,0.1412875670223258,Other
2016,19.383594976591883,1.2951375381933548,17,0.1370018147635397,Other
2008,19.51236278632033,1.351842174817684,17,0.1348810833834788,Other
2021,19.016865825313612,1.0627491634643094,17,0.13035975767933633,Other
2007,18.12642902028725,0.5690248741527212,17,0.12136384964659601,Other
1995,19.483719479113137,1.237528484154592,17,0.11846993969714663,Other
1986,18.447153325224846,0.6898973000028762,17,0.10932681425377794,Other
1987,18.331379908949984,0.6163061628700899,17,0.10337659667379037,Other
1983,19.955213158039424,1.3627927890379434,17,0.10261528201941479,Other
2018,19.11968047659817,0.9543178740683612,17,0.09786747167751327,2018
2000,18.12095130340071,0.47397641129073054,17,0.08588133607392612,Other
1980,18.62132385647612,0.6433192980254367,17,0.07445088823059158,Other
2020,19.99935456745787,1.1554081864958052,17,0.06940105351296805,Other
2014,19.913683005379703,1.0955557141637242,17,0.06540295685782856,Other
2015,19.051423306698773,0.7531476674842027,17,0.06158351816874647,Other
1991,18.53136866815894,0.5593398868847537,17,0.0607785606592413,Other
1993,18.6252594997513,0.5741017416492514,17,0.055673865374070895,Other
1981,21.647102462008604,1.624256797100034,17,0.054112220663303456,Other
1979,18.75976007155734,0.6116147500995176,17,0.05329040185563528,Other
2022,20.012923021399583,1.0097496888443964,17,0.048161675989140854,Other
1989,22.04114077726732,1.6542699420372284,17,0.045331986317591576,Other
2013,19.252739332071425,0.6680876749555522,17,0.03318459870334188,Other
1984,20.32815839383654,0.9724513135827503,17,0.031601405377795495,Other
2002,21.14873274918691,1.1294270492763459,17,0.024763543490080107,Other
2009,20.140740323295397,0.8033354421916045,17,0.019653994156405244,Other
1992,19.1450992809687,0.517837359071354,17,0.01563601331953143,Other
2019,22.95846774999589,1.3544246560089428,17,0.012137290761293926,2019
1996,21.538531553531655,0.9399802383341086,17,0.007936406953023575,Other
1998,20.208173071789812,0.6310092174435861,17,0.006155751379652333,Other
2011,21.758945599078544,0.5427990900587114,17,1.557011597760763e-4,Other
1982,17.164317134528158,0.5182813754478109,18,0.8337459264816579,Other
2003,17.50002707329803,0.35719505789524125,18,0.8021393909395732,Other
2010,16.6390782236277,1.0721649415065384,18,0.7806265401736956,Other
2012,16.78877955420752,0.9900779361651335,18,0.7726540761027128,Other
2005,16.541631311628272,1.2109928083645276,18,0.7692844565663969,Other
2006,17.23807444335008,0.6440647953481751,18,0.7654859199377109,Other
1988,17.326824069178695,0.636183026192589,18,0.7423365069471044,Other
2001,17.65648669532134,0.3637777391716925,18,0.7199663020575405,Other
1985,17.461869371428108,0.6416841736675388,18,0.6981749676152541,Other
1999,17.550566308908664,0.5529471323010038,18,0.6927051770798769,Other
1997,17.467770373014034,0.7893501202363457,18,0.6624570713045876,Other
1994,17.471323506363426,0.9127694501581843,18,0.6408834135239331,Other
1990,17.851895029727196,1.0565709543451416,18,0.5349865134132418,Other
2004,18.24932551046021,1.1659938474108666,18,0.44674503885749495,Other
2007,18.12642902028725,0.5690248741527212,18,0.44468103715184937,Other
2000,18.12095130340071,0.47397641129073054,18,0.43654789856652065,Other
2017,18.525382173135974,1.528833163592439,18,0.41492333512093554,Other
1987,18.331379908949984,0.6163061628700899,18,0.3687257721764204,Other
1986,18.447153325224846,0.6898973000028762,18,0.3434077313888587,Other
1991,18.53136866815894,0.5593398868847537,18,0.2788863408365965,Other
2021,19.016865825313612,1.0627491634643094,18,0.2775141712049173,Other
1980,18.62132385647612,0.6433192980254367,18,0.2757165554884285,Other
2016,19.383594976591883,1.2951375381933548,18,0.2557265785068045,Other
1993,18.6252594997513,0.5741017416492514,18,0.25178605528270104,Other
2008,19.51236278632033,1.351842174817684,18,0.246244681121314,Other
2018,19.11968047659817,0.9543178740683612,18,0.23626292294472112,2018
1995,19.483719479113137,1.237528484154592,18,0.23166425850906758,Other
1979,18.75976007155734,0.6116147500995176,18,0.22404979994893992,Other
2015,19.051423306698773,0.7531476674842027,18,0.19844545906661787,Other
1983,19.955213158039424,1.3627927890379434,18,0.1923657907294914,Other
2020,19.99935456745787,1.1554081864958052,18,0.1505324115104367,Other
2014,19.913683005379703,1.0955557141637242,18,0.14845515675162496,Other
2013,19.252739332071425,0.6680876749555522,18,0.13295130887126347,Other
2022,20.012923021399583,1.0097496888443964,18,0.11988842801431118,Other
1992,19.1450992809687,0.517837359071354,18,0.09873937480774245,Other
1981,21.647102462008604,1.624256797100034,18,0.09574719059520785,Other
1984,20.32815839383654,0.9724513135827503,18,0.08362270775617993,Other
1989,22.04114077726732,1.6542699420372284,18,0.07996265833385306,Other
2009,20.140740323295397,0.8033354421916045,18,0.06508174614435439,Other
2002,21.14873274918691,1.1294270492763459,18,0.05798140133372254,Other
1998,20.208173071789812,0.6310092174435861,18,0.02932843140118898,Other
2019,22.95846774999589,1.3544246560089428,18,0.025063975952344546,2019
1996,21.538531553531655,0.9399802383341086,18,0.02265466174179552,Other
2011,21.758945599078544,0.5427990900587114,18,9.81826105073693e-4,Other
2003,17.50002707329803,0.35719505789524125,19,0.9852159275096478,Other
2001,17.65648669532134,0.3637777391716925,19,0.9757129636839288,Other
1982,17.164317134528158,0.5182813754478109,19,0.9718557793150753,Other
2006,17.23807444335008,0.6440647953481751,19,0.939096866509098,Other
1988,17.326824069178695,0.636183026192589,19,0.9327689858379822,Other
1999,17.550566308908664,0.5529471323010038,19,0.9322191370857368,Other
1985,17.461869371428108,0.6416841736675388,19,0.9165998801126676,Other
2012,16.78877955420752,0.9900779361651335,19,0.9032072711160459,Other
2010,16.6390782236277,1.0721649415065384,19,0.9004301866229932,Other
2005,16.541631311628272,1.2109928083645276,19,0.883915593109443,Other
1997,17.467770373014034,0.7893501202363457,19,0.8744760147225559,Other
2000,18.12095130340071,0.47397641129073054,19,0.8646692651213415,Other
1994,17.471323506363426,0.9127694501581843,19,0.8422104010836194,Other
2007,18.12642902028725,0.5690248741527212,19,0.8227668859929393,Other
1990,17.851895029727196,1.0565709543451416,19,0.7477471821155226,Other
1987,18.331379908949984,0.6163061628700899,19,0.7474169367547334,Other
1991,18.53136866815894,0.5593398868847537,19,0.6980078393388907,Other
1986,18.447153325224846,0.6898973000028762,19,0.6902624021403465,Other
1993,18.6252594997513,0.5741017416492514,19,0.6576281708773009,Other
2004,18.24932551046021,1.1659938474108666,19,0.6556134313882163,Other
1980,18.62132385647612,0.6433192980254367,19,0.6430504230846802,Other
1979,18.75976007155734,0.6116147500995176,19,0.5969556375447576,Other
2017,18.525382173135974,1.528833163592439,19,0.5769937516069156,Other
2021,19.016865825313612,1.0627491634643094,19,0.49603258418795004,Other
2015,19.051423306698773,0.7531476674842027,19,0.4829371646328413,Other
